,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,64.1,29.9,60.4,62.4,57.9,46.5,49.4,55.7,71,64.2,44,54.2,53.3,50.2,56.1,57.4,68.2,41.3,55.3,48.2,46,43.2,65.1,56.7,43.5,51,50.1,43.8,53.4,54.2,46.2,59.6,42.6,52.2,61,48,49.7,49.9,63.3,47.9,59.4,66,49,43,56.2,48,53.3,45.3,41.8
2006,64.1,26.4,61.5,61.9,59,46.8,50.2,56.8,71.2,64.5,44.1,53.6,52.9,49.8,56.8,56.5,67.7,43.3,55.9,49.2,46.7,44.3,64.7,56.5,44.6,51.3,51.3,44.9,54.2,55.1,46.8,59.6,44.2,52.1,62.1,47.9,50,51.1,63.5,48.2,58.8,67.1,49.6,44.3,56.2,47.5,52.6,45.7,40.6
2007,63.8,27.5,61.4,61.5,59,46.1,50.2,56.4,71.3,64.3,44.9,53.6,53.1,49.3,55.3,57.2,66.9,41.7,55.7,49.1,46.2,42.9,64.3,56.2,43.9,50,51.5,44.1,53.9,53.9,46.2,60,41.9,52.1,60,48,49.6,51,63.7,46.8,59.3,64.6,49.8,43,56.4,46.9,53,45.1,43.1
2008,63.7,26.6,60.5,60.7,58.5,44.7,50.1,56.9,71.7,64.3,42.2,51.8,52,46.6,53.8,56.4,67.4,41.6,56,48.8,44.9,40.1,64.2,54.1,41.7,48.1,50,44,54.2,53.8,46.4,60.3,40.1,51.6,59.9,46.3,49.7,51,63.9,44.6,58.7,66,47.8,43.3,56.6,45.7,52.8,42.6,43.3
2009,63.1,25.6,61.7,60,59.4,46.2,48.6,55.3,70.6,63.4,43.8,51.1,51,46.5,54.2,55.2,67,40.7,54.4,47.6,43.3,39.6,63.7,53.9,42,48.2,51.4,42.8,52.5,54.9,44.7,58.8,38.3,50.2,59.9,48.1,48.1,49.6,62.7,43.8,57.5,66.2,49.4,42.1,55,46.7,51.4,41.7,43.8
2010,62.8,27.9,59.9,60.8,57.4,44.9,51.6,57.2,70.4,63.5,42.3,53.1,52.9,48,54.3,56.4,66.3,44.5,56.3,50.6,47,42.7,63.4,54.9,40.8,48.2,49.1,46.1,55.1,53.4,47.5,59.7,40.6,52.1,59.5,46.4,50.5,52.3,63.1,44.4,58.2,64.4,47.3,45.1,56.4,46.5,52.7,45.4,44.1
2011,63.4,27.1,60.8,61.5,57.6,46.1,49.8,56.3,70.6,63.8,42.7,52.1,51.9,47.5,55.3,55.9,67.6,42,55.5,48.5,44.9,40.8,64.2,55,40.8,48.6,50,43.9,53.7,55.4,45.9,59.3,39.2,51,61.7,46.4,49.3,50.4,63.2,43.8,58.2,67.6,48.1,43.1,55.9,45.7,52.3,43.2,41.3
2012,65,25.2,61.4,63.7,59.1,47.9,53,58.8,72.1,65.5,44.7,56.3,55.7,52.6,58.2,58.8,68.6,44.4,57.9,51.9,48.9,46.4,65.7,58.9,45.1,53,51.8,47,56.4,55.3,49.4,61.1,45.8,54.6,63,47.8,52.2,53.5,64.6,50.1,60.5,67.3,50.4,46.4,58,46.6,54.8,48,42.5
2013,62.6,25.8,61.2,60.2,59.6,45.8,50.3,56,71,63.4,44.4,52,51.8,47.8,54.5,55.3,66.6,42.7,54.9,49.4,45,40.4,63.3,54.5,43,49.1,51.3,45,53.4,54.4,46.4,58.5,39.6,51.2,59.8,48.1,49.4,51.1,62.4,45,57.4,66.1,48.8,44,55.1,47.8,51.9,43,44.4
2014,62.1,29.9,61.5,58.4,60.6,45.4,48.3,54.7,71.5,63.2,44.1,49.2,49.3,44.9,53.2,54.4,64.9,40.4,53.5,47.2,41.6,37.8,62.1,52.5,41,47.5,51.8,42.3,51.8,54.2,44,58.5,38,49.2,58.2,48.6,47.3,49.3,62.4,42.8,56.6,64.2,49.2,41.2,54.5,47.4,50.9,39.7,41.5
2015,63.1,30.3,62.3,60.1,61.5,47.4,48.9,55.3,71.6,63.9,46.7,51.1,50.6,47.7,55.4,54.9,66.8,40.8,54.3,47.6,43.5,41.7,63.9,54.4,44.6,49.9,53.7,43,52.7,55,44.6,59.1,42,50,60.1,50.7,48.2,49.5,63.1,46.5,57.4,65.3,51.3,41.9,55.2,50.1,51.6,42.8,40.6
2016,65.7,32.5,61.3,63,60,46.8,52.7,58.2,73.2,66.3,45.2,55.3,54.9,51.1,57.3,58.6,69,43.8,57.3,51.2,47.9,45,66.4,57.7,45,51.7,51.6,46.5,56,54.9,48.6,61.7,44.8,54.5,62.1,49.1,51.9,53.1,65.6,48.6,60.8,66.9,49.7,45.5,57.9,48.9,55,46.8,42.1
2017,65.7,28,62.6,63.1,59.8,47.8,51,57.8,73.1,66.3,44.4,55,54.5,50.8,56.9,58.4,69.3,42.7,56.9,49.7,47.2,44,66.3,57.6,43.4,51.2,52,45.1,54.7,56.3,47.3,61.3,42.7,53.7,62.3,48,50.9,51.6,65.3,47.2,60.6,67.9,50.7,44.2,57.6,47,54.4,45.8,40.5
2018,64.6,30.7,63.7,61.7,60.5,48.3,51,57,72.2,65.2,44.7,52.9,52.8,48.1,55.5,57,68.1,42.6,56,49.8,45.3,40.9,65,55.9,41.1,49,52.7,45,54.3,56.7,46.5,60.4,40.1,52.3,61,48.3,49.8,51.9,64.3,44.7,59.2,66.8,51.4,43.8,56.7,47.6,53.4,43.4,43.3
2019,65.1,32.6,60.1,61.2,58.6,45.3,49.9,57.6,73,66,43.2,52,52.3,46.6,53.7,57.3,67.7,40,56.5,48.5,43.8,39.2,65.2,54.8,40.4,47.4,50,43,54.3,54.3,45.2,61.1,38.2,52.1,59.8,47.4,49.8,50.6,64.8,42.6,59.6,65.6,47.8,41.7,57.2,47,53.9,42.1,43.4
2020,64.7,27.8,62,60.9,60,46.6,51,57.4,73.3,65.6,43.8,52.8,52.9,48.6,54.9,57,67.9,42.6,56.7,50.1,45.9,41.7,65.1,55.3,42.4,49.7,51.8,45.1,54.9,55.5,47,60.7,41.2,52.7,60.2,48.3,50.6,52.1,64.4,45.6,59.2,66.4,49.7,43.8,57.1,47.6,53.8,44.2,43
