,Alaska,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,0.669,4.55,5.98,2.78,35.56,4.66,3.48,0.582,0.84515,17.78,9.10,1.27,1.43,12.67,6.25,2.95,2.74,4.18,4.50,1.31,5.58,6.45,10.91,5.11,2.90,5.81,0.94,1.75,2.41,1.30,8.62,1.92,19.33,8.67,0.64,11.48,3.53,3.62,12.42,1.07,4.26,0.78,,22.80,2.50,0.62,7.56,6.26,1.80,5.54,0.51
2006,0.677,4.60,6.19,2.82,35.98,4.75,3.49,0.584,0.85927,18.09,9.33,1.28,1.46,12.72,6.30,2.96,2.76,4.22,4.24,1.32,5.61,6.47,10.08,5.15,2.90,5.86,0.95,1.76,2.49,1.31,8.62,1.94,19.36,8.87,0.64,11.49,3.57,3.68,12.47,1.06,4.34,0.79,,23.37,2.58,0.62,7.65,6.37,1.81,5.57,0.51
2007,0.682,4.64,6.36,2.84,36.23,4.84,3.49,0.586,0.87175,18.28,9.53,1.28,1.50,12.78,6.35,2.98,2.78,4.26,4.38,1.32,5.63,6.50,10.05,5.19,2.92,5.91,0.96,1.77,2.57,1.32,8.64,1.97,19.42,9.06,0.64,11.52,3.61,3.73,12.52,1.06,4.42,0.80,,23.84,2.66,0.62,7.72,6.47,1.81,5.60,0.52
2008,0.688,4.68,6.50,2.87,36.58,4.94,3.50,0.59,0.88387,18.42,9.70,1.29,1.53,12.84,6.39,2.99,2.80,4.29,4.45,1.32,5.66,6.54,10,5.23,2.94,5.96,0.97,1.78,2.62,1.32,8.66,1.99,19.47,9.25,0.64,11.53,3.64,3.78,12.57,1.05,4.50,0.81,,24.30,2.73,0.62,7.80,6.57,1.82,5.63,0.53
2009,0.698,4.71,6.60,2.89,36.96,5.03,3.58,0.6,0.89173,18.54,9.83,1.30,1.55,12.91,6.42,3.01,2.82,4.31,4.49,1.32,5.70,6.59,9.97,5.27,2.95,5.99,0.98,1.80,2.64,1.33,8.71,2.01,19.54,9.38,0.65,11.54,3.69,3.83,12.61,1.05,4.56,0.81,,24.78,2.79,0.62,7.88,6.66,1.82,5.66,0.54
2010,0.71398,4.79,6.41,2.92,37.32,5.05,3.58,0.60528,0.89793,18.85,9.71,1.36,1.57,12.84,6.49,3.05,2.86,4.35,4.54,1.33,5.79,6.57,9.88,5.31,2.97,6,0.99,1.83,2.70,1.32,8.80,2.06,19.40,9.57,0.67,11.54,3.76,3.84,12.71,1.05,4.64,0.82,,25.24,2.78,0.63,8.02,6.74,1.85,5.69,0.56
2011,0.72235,4.80,6.47,2.94,37.64,5.12,3.59,0.62029,0.89795,19.05,9.80,1.38,1.58,12.87,6.52,3.07,2.87,4.37,4.58,1.33,5.84,6.61,9.88,5.35,2.98,6.01,1,1.84,2.71,1.32,8.83,2.08,19.50,9.66,0.69,11.54,3.79,3.87,12.75,1.05,4.67,0.82,,25.65,2.81,0.63,8.10,6.83,1.86,5.71,0.57
2012,0.73081,4.82,6.55,2.95,37.95,5.19,3.59,0.63574,0.91552,19.30,9.90,1.39,1.60,12.88,6.54,3.08,2.89,4.39,4.60,1.33,5.89,6.66,9.90,5.38,2.98,6.02,1,1.85,2.74,1.32,8.84,2.09,19.57,9.75,0.70,11.55,3.82,3.90,12.77,1.05,4.72,0.83,,26.08,2.85,0.63,8.19,6.90,1.86,5.72,0.58
2013,0.73763,4.83,6.63,2.96,38.26,5.27,3.59,0.65156,0.92406,19.55,9.97,1.41,1.61,12.90,6.57,3.09,2.89,4.40,4.62,1.33,5.92,6.71,9.91,5.41,2.99,6.04,1.01,1.87,2.78,1.33,8.86,2.09,19.62,9.85,0.72,11.58,3.85,3.92,12.78,1.06,4.76,0.84,,26.48,2.90,0.63,8.25,6.96,1.85,5.74,0.58
2014,0.73708,4.84,6.73,2.97,38.60,5.35,3.59,0.6636,0.93313,19.85,10.07,1.41,1.63,12.88,6.59,3.11,2.90,4.41,4.64,1.33,5.96,6.76,9.93,5.45,2.99,6.06,1.02,1.88,2.82,1.33,8.86,2.09,19.65,9.94,0.74,11.61,3.88,3.97,12.79,1.06,4.83,0.85,,26.96,2.94,0.63,8.31,7.05,1.85,5.75,0.58
2015,0.73843,4.85,6.83,2.98,38.92,5.45,3.59,0.67701,0.94207,20.22,10.18,1.42,1.65,12.86,6.61,3.12,2.91,4.43,4.66,1.33,5.99,6.79,9.93,5.48,2.99,6.07,1.03,1.89,2.87,1.34,8.87,2.09,19.65,10.04,0.76,11.62,3.91,4.02,12.78,1.06,4.90,0.85,,27.47,2.98,0.63,8.36,7.16,1.84,5.76,0.59
2016,0.74258,4.86,6.94,2.99,39.17,5.54,3.58,0.68758,0.94999,20.63,10.31,1.43,1.68,12.82,6.63,3.13,2.91,4.44,4.68,1.33,6,6.82,9.95,5.52,2.99,6.09,1.04,1.91,2.92,1.34,8.87,2.09,19.63,10.16,0.76,11.64,3.93,4.09,12.78,1.06,4.96,0.86,,27.91,3.04,0.62,8.41,7.29,1.83,5.77,0.58
2017,0.74098,4.87,7.04,3,39.36,5.61,3.57,0.69708,0.95794,20.98,10.42,1.42,1.72,12.78,6.66,3.14,2.91,4.45,4.67,1.33,6.02,6.86,9.98,5.57,2.99,6.11,1.05,1.92,2.97,1.35,8.89,2.09,19.59,10.28,0.76,11.67,3.93,4.15,12.79,1.06,5.03,0.87,,28.29,3.10,0.62,8.47,7.42,1.82,5.79,0.58
2018,0.73662,4.89,7.16,3.01,39.34,5.69,3.57,0.70415,0.96699,21.25,10.52,1.42,1.75,12.72,6.70,3.15,2.91,4.46,4.66,1.34,6.04,6.88,9.99,5.61,2.98,6.12,1.06,1.93,3.03,1.35,8.89,2.09,19.54,10.39,0.76,11.68,3.94,4.18,12.80,1.06,5.09,0.88,,28.62,3.16,0.62,8.50,7.52,1.81,5.81,0.58
2019,0.7336,4.90,7.28,3.02,39.44,5.76,3.57,0.70825,0.97667,21.49,10.63,1.42,1.79,12.67,6.73,3.16,2.91,4.47,4.66,1.34,6.05,6.89,9.98,5.64,2.98,6.14,1.07,1.93,3.09,1.36,8.89,2.10,19.46,10.50,0.76,11.70,3.96,4.22,12.80,1.06,5.16,0.89,,29.99,3.20,0.62,8.56,7.61,1.80,5.82,0.58
2020,0.73244,5.02,7.18,3.01,39.50,5.78,3.60,0.69009,0.99189,21.57,10.73,1.45,1.85,12.79,6.79,3.19,2.94,4.50,4.65,1.36,6.17,7.02,10.07,5.71,2.96,6.15,1.09,1.96,3.11,1.38,9.28,2.12,20.15,10.46,0.78,11.79,3.96,4.24,12.99,1.10,5.13,0.89,,29.22,3.28,0.64,8.63,7.72,1.79,5.89,0.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
